一昌實業股份有限公司,"I-CHONG DEVELOPMENT CO., LTD",夾克、男襯衫、褲子、牛仔褲、裙子、休閒服、運動服,苗栗縣後龍鎮南龍里勝利街 208之14號,037-723111-3,037-725989,cs.chong@msa.hinet.net,,
丸曾西裝社股份有限公司,"WAN TSUN CLOTHING CO., LTD.",西服、套裝、夾克、褲子、休閒服、工作服、運動服、衝浪褲,台北市仁愛路四段376 號7樓之1,02-27557911,02-27010209,mej-jong@umail.hinet.net,,海外設廠：柬埔
山華企業股份有限公司,WELL & DAVID CORP.,夾克、滑雪裝、工作服、Polo衫,高雄市鼓山區吳鳳路11號,07-5858288,07-5833738,suzy@wnd.com.tw,http://www.wnd.com.tw/,海外設廠：柬埔
太春企業股份有限公司,TITAN CORPORATION LTD.,男襯衫、女襯衫、裙子、洋裝、休閒服、睡衣、運動服,台北市基隆路一段159號13樓,02-87867822,02-87861629,titanliaw@yahoo.com.tw,NIL
啟翔股份有限公司,"CHEE SIANG INDUSTIRAL CO., LTD.",工業用縫紉機製造及販售,新北市五股區五股工業區五權 七路32號,02-22999518,02-22999519,cheesiang@golden-wheel.com,http://www.golden-wheel.com
勤倫股份有限公司,"CHANCE LINE INDUSTRIAL CO., LTD.",熱燙材料、熱轉白光、夜光印材料,彰化縣線西鄉中華路107號,04-7589320,04-7589067,chance.line@msa.hinet.net,
墾青工業股份有公司,"KEEN CHING INDUSTRIAL CO., LTD.",隱形拉鍊、塑鋼拉鍊、尼龍拉鍊、金屬拉鍊,新北市新莊區中正路651號9樓,02-29072866,02-29072859,kcc@kcc-zip.com,http://www.kcc-zip.com
豐登實業股份有限公司,"FULL PLENTY INDUSTRY CO., LTD.",平織/針織：男裝、女裝、童裝、襪子、 壓力襪、 內著,台北市內湖區瑞光路258巷 2號8樓,02-87971278,02-87973056,Chifong@fullplenty.com.tw,
福聯國際有限公司,"Finelink International Co., Ltd.",梭織鬆緊帶、文化符碼彩帶、圓織帶,彰化縣和美鎮竹營里忠信路94號,04-7553987,04-7558643,finelink-design@hotmail.com,www.bisouth.com.tw/finelink
台灣富綢纖維股份有限公司,"Taiwan Taffeta Fabric Co., Ltd.",平織布、毛彈男女裝、仿麻布料、彈性棉感布料、長短纖交織、提花布，機能性布料、傢飾布、人造纖維製造,台北市大同區西寧北路70-1號8樓,02-25568282,02-25502904,c.j.wu@ttfco.com,http://www.ttfco.com/
漢門科技股份有限公司,eAI TECHNOLOGIES INC.,紡織垂直產業之專業型精品、製造執行系統、行動倉儲、企業流程管理、流程機器人、商業智慧、人工智慧、物聯網、雲端辦公室,高雄市前鎮區復興四路2號3樓之1,07-3320607,07-3320637,davidchen@tpmail.eai.com.tw,https://www.eai.com.tw/
方遠國際有限公司,"FANG YUAN INTERNATIONAL CO., LTD",成衣輔料、織帶材料、包袋布料,台中市南區正氣街15-1號,04-24367482,,kevin7635@gmail.com,fang-yuan.com.tw
威制實業有限公司,"WELLTERN ENTERPRISE CO., LTD.",拉鍊,新北市三重區光復路1段86號5樓,02-29991357,02-77166115,audrey.chen@welltern.com,www.welltern.com
廣越企業股份有限公司,"QUANG VIET ENTERPRISE CO., LTD.",羽絨夾克、樹魯棉夾克、其他服飾,台北市內湖區瑞光路607號6樓,02-27989169,02-27988386,Carrietang@qve.com.tw,http://www.qve.com.tw/
